"date","num","num2","str","str2"
"2014-01-10","159","735.909641","boy","yellow"
"2014-01-11","811","590.074484","girl","red"
"2014-01-14","652","586.475146","girl","red"
"2014-02-14","387","85.291504","girl","green"
"2014-03-26","144","620.632272","boy","green"
"2014-04-06","295","745.998399","girl","yellow"
"2014-05-17","934","691.769330","girl","blue"
"2014-05-30","645","198.123317","girl","red"
"2014-07-04","493","644.848429","boy","red"
"2014-07-07","621","894.527723","girl","yellow"
"2014-09-05","718","647.741581","boy","blue"
"2014-09-28","325","114.497184","boy","blue"
"2014-12-01","87","985.723570","girl","red"
"2014-12-11","736","839.650763","girl","blue"
"2014-12-20","35","9.102461","boy","green"
"2014-12-26","227","256.393205","boy","blue"
"2015-01-04","543","487.952752","girl","blue"
"2015-01-21","403","584.699382","boy","blue"
"2015-01-23","84","614.390247","boy","yellow"
"2015-02-26","24","714.779783","boy","blue"
"2015-02-28","758","160.703334","girl","purple"
"2015-04-13","418","341.698807","girl","purple"
"2015-04-30","522","920.303487","girl","blue"
"2015-05-22","699","877.862778","boy","purple"
"2015-07-20","40","105.768067","girl","yellow"
"2015-08-02","525","584.824901","boy","red"
"2015-08-06","515","438.049432","boy","yellow"
"2015-09-24","807","918.232011","girl","purple"
"2015-10-15","133","70.879481","girl","green"
"2015-10-24","218","863.306835","boy","green"
"2015-11-10","119","347.160302","girl","purple"
"2015-11-27","472","212.281663","boy","purple"
"2015-12-21","233","688.613764","boy","green"
"2015-12-22","615","761.157905","boy","blue"
"2015-12-25","130","165.243833","boy","purple"
"2016-01-31","648","153.261068","girl","red"
"2016-02-06","598","925.798708","girl","purple"
"2016-02-13","922","273.510045","boy","yellow"
"2016-02-24","32","691.992416","boy","red"
"2016-03-07","226","949.558883","boy","blue"
"2016-05-07","54","92.739741","girl","red"
"2016-05-26","933","521.936725","girl","red"
"2016-06-30","541","251.652311","boy","blue"
"2016-07-09","5","856.062306","boy","yellow"
"2016-08-10","176","63.847684","girl","purple"
"2016-08-25","448","143.850998","girl","red"
"2016-08-31","949","77.007224","boy","blue"
"2016-09-08","158","178.657628","girl","blue"
"2016-09-10","606","368.093227","boy","purple"
"2016-09-24","327","192.515894","boy","yellow"
