"date","num","num2","str","str2"
"2014-01-21","483","57.232732","girl","purple"
"2014-03-13","408","100.725618","boy","blue"
"2014-03-13","971","142.606838","boy","yellow"
"2014-04-09","380","41.387326","girl","green"
"2014-06-23","65","893.682612","boy","blue"
"2014-07-15","215","128.868305","boy","purple"
"2014-07-20","172","321.168320","girl","blue"
"2014-08-04","994","383.506162","boy","blue"
"2014-08-11","124","727.881956","girl","blue"
"2014-09-06","917","817.173420","girl","green"
"2014-10-07","647","755.286293","girl","yellow"
"2014-10-21","375","386.642700","boy","yellow"
"2014-10-22","689","289.127219","girl","red"
"2014-11-11","367","1.654866","girl","red"
"2014-12-17","553","521.157832","boy","blue"
"2014-12-26","90","819.325719","girl","blue"
"2015-02-08","26","358.415671","boy","green"
"2015-03-30","670","294.586119","boy","blue"
"2015-04-14","181","732.838860","girl","purple"
"2015-04-15","363","998.672617","boy","blue"
"2015-04-27","947","266.581877","girl","purple"
"2015-05-27","957","994.682854","girl","yellow"
"2015-06-09","110","839.412643","girl","purple"
"2015-06-19","987","43.744961","boy","green"
"2015-06-25","220","60.270522","boy","purple"
"2015-07-12","994","566.777424","boy","red"
"2015-07-19","178","877.767506","boy","red"
"2015-08-14","253","107.395573","girl","blue"
"2015-08-14","208","789.945847","boy","purple"
"2015-09-18","693","147.903399","boy","yellow"
"2015-10-09","353","45.010320","boy","red"
"2015-12-16","225","737.245229","girl","blue"
"2015-12-30","936","632.570912","boy","purple"
"2016-02-05","934","794.659139","girl","blue"
"2016-02-23","62","726.697305","girl","blue"
"2016-02-25","983","208.765573","boy","red"
"2016-03-10","252","775.093353","boy","purple"
"2016-03-15","173","571.251081","girl","blue"
"2016-03-26","696","144.596805","girl","green"
"2016-04-19","650","480.650924","boy","yellow"
"2016-04-25","785","598.627529","boy","yellow"
"2016-04-30","20","782.766108","girl","yellow"
"2016-05-09","820","522.454900","boy","green"
"2016-05-22","112","333.689074","boy","purple"
"2016-06-03","320","978.221968","boy","blue"
"2016-06-25","753","458.861578","girl","purple"
"2016-06-27","975","665.541835","boy","blue"
"2016-07-31","521","843.802916","boy","purple"
"2016-08-21","697","111.414739","girl","purple"
"2016-09-12","927","925.286282","boy","red"
