"date","num","num2","str","str2"
"2014-01-22","929","494.594527","boy","red"
"2014-01-23","545","963.885825","boy","green"
"2014-03-03","985","669.324380","girl","red"
"2014-03-20","89","57.946728","girl","purple"
"2014-03-22","847","548.971807","boy","red"
"2014-04-14","848","884.342226","boy","red"
"2014-05-12","775","40.607197","girl","yellow"
"2014-06-05","247","999.701353","girl","yellow"
"2014-07-31","511","731.560418","girl","blue"
"2014-08-09","557","574.624195","girl","red"
"2014-08-23","819","541.476642","girl","blue"
"2014-09-24","998","152.214668","girl","yellow"
"2014-10-11","265","664.400618","girl","yellow"
"2014-10-12","514","167.893135","boy","green"
"2014-11-12","934","241.532948","girl","red"
"2014-11-28","821","116.891830","girl","blue"
"2014-12-03","691","228.484851","girl","yellow"
"2014-12-04","675","591.148157","girl","yellow"
"2014-12-28","456","476.465494","girl","purple"
"2015-02-21","820","981.678282","girl","green"
"2015-03-29","746","862.634414","boy","blue"
"2015-04-08","131","377.252572","girl","purple"
"2015-04-10","892","93.997884","boy","yellow"
"2015-05-01","87","35.596527","boy","yellow"
"2015-07-04","844","813.105249","boy","purple"
"2015-07-16","623","688.973723","boy","blue"
"2015-08-15","910","141.888753","girl","yellow"
"2015-08-17","892","67.262740","girl","blue"
"2015-09-01","433","559.427302","girl","yellow"
"2015-09-15","263","881.271507","girl","purple"
"2015-10-02","290","68.127115","girl","purple"
"2015-11-03","640","194.746568","girl","purple"
"2015-12-13","34","394.331707","girl","purple"
"2015-12-15","476","317.996867","girl","blue"
"2015-12-18","898","660.057207","boy","purple"
"2016-01-07","442","390.912047","boy","purple"
"2016-01-15","188","297.694830","girl","red"
"2016-01-17","515","823.650979","girl","yellow"
"2016-02-03","393","912.843872","boy","red"
"2016-04-11","644","214.655452","boy","purple"
"2016-05-03","704","574.902552","girl","red"
"2016-05-14","754","651.086530","girl","yellow"
"2016-05-22","479","844.932602","boy","blue"
"2016-05-30","195","291.519290","boy","purple"
"2016-06-28","907","722.870167","boy","green"
"2016-07-28","261","103.179895","girl","red"
"2016-07-29","868","788.480174","girl","yellow"
"2016-08-07","414","497.898431","girl","purple"
"2016-08-28","894","708.158628","girl","purple"
"2016-09-24","718","776.058488","girl","green"
